cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
carbon supply shock,affects carbon prices for about 12 months,carbon supply shock affects carbon prices,"This model estimates that a carbon supply shock affects carbon prices lasting for about 12 months, but on CPI for much longer.",NA,NA,about 12 months,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_35
carbon price shock,output fall for emissions-intensive firms,carbon price shock reduces output for emissions-intensive firms,"Also using carbon pricing shocks but in a so-called Environmental DSGE or E-DSGE modl29], Berthold et al. (2023)[30] find heterogeneity in the response of emissions-intensive firms to a carbon price shock, relative to green firms.[31] The relative price of emissions-intensive goods rises due to the rise in carbon price, causing its output to fall.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_36
carbon price shock,output increase for green firms,carbon price shock increases output for green firms,"As shown in Chart 8, output in response to a carbon price shock increases for green firms, reflecting the substitutability of demand between emissions-intensive and green goods, but given output by emissions-intensive firms contracts by more, aggregate output falls.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_37
decline in expected profitability of emissions-intensive firms,persistent decline in investment,decline in profitability reduces investment,"As a result of the decline in expected profitability of emissions-intensive firms, there is a persistent decline in investment.",NA,NA,persistent,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_38
persistent fall in relative prices of green and emissions-intensive goods,fall in investment,fall in relative prices reduces investment,"Due to the persistent fall in relative prices of green and emissions- intensive goods driven by the rise in carbon price, profit margins for green firms are squeezed, triggering a fall in investment.",NA,NA,persistent,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_39
rising cost of emissions-intensive goods,inflation in aggregate rises,rising costs increase inflation,Inflation in aggregate rises due to the rising cost of emissions-intensive goods.,NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_40
carbon taxes,decrease in output,carbon taxes reduce output,"Subsidies and investment increase output, while carbon taxes decrease output.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_41
investment and subsidies,increase in output,investment and subsidies increase output,"Subsidies and investment increase output, while carbon taxes decrease output.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_42
carbon taxes,inflationary effects,carbon taxes cause inflation,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary (Chart 9), though subsidies require a longer time for inflation to return back to its original level.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_43
public investments,inflationary effects,public investments cause inflation,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary (Chart 9), though subsidies require a longer time for inflation to return back to its original level.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_44
subsidies,inflationary effects,subsidies cause inflation,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary (Chart 9), though subsidies require a longer time for inflation to return back to its original level.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_45
expectations for future tax increases,negative effect on demand in the current period,future tax expectations reduce current demand,"Considering expectations, Ferrari and Nispi Landi (2023) find that increases in carbon taxes are inflationary, but expectations for tax increases in the future have a negative effect on demand in the current period, acting as a disinflationary counterweight.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_46
fully rational agents internalising hit to permanent incomes,consumption falls,rational agents reduce consumption,"Annicchiarico et al. (2022) find that fully rational agents more fully internalise the hit to permanent incomes from a permanently higher carbon price compared to non-rational agents. The fully rational agents therefore consume less, which causes output to fall faster.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_47
permanent increase in carbon price,output falls faster,permanent carbon price increase reduces output faster,"Annicchiarico et al. (2022) find that fully rational agents more fully internalise the hit to permanent incomes from a permanently higher carbon price compared to non-rational agents. The fully rational agents therefore consume less, which causes output to fall faster.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_48
permanent increase in carbon price,inflation increases by less,permanent carbon price increase causes less inflation,"Importantly, inflation increases by less than when agents are not fully rational, because these agents are slow to adjust (Chart 10).",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_49
sequence of anticipated carbon price shocks,strong inflationary dynamic,anticipated carbon price shocks increase inflation,"Naylor (2023), by modelling agents as having information frictions, specifically as being rationally inattentive[34], shows that the inflationary dynamic can be particularly strong in the event of a sequence of anticipated carbon price shocks.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_50
anticipated carbon price shocks,inflation falls on impact,anticipated carbon price shocks reduce inflation initially,"In this setting, while inflation may fall on impact (given the significant downward effect on output over the horizon), inflation subsequently rises as sticky price firms are able to adjust prices (Chart 11).",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_51
anticipated carbon price shocks,inflation subsequently rises,anticipated carbon price shocks increase inflation later,"In this setting, while inflation may fall on impact (given the significant downward effect on output over the horizon), inflation subsequently rises as sticky price firms are able to adjust prices (Chart 11).",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_52
UK reliance on fossil fuel energy,exposure to risk of further price shocks,reliance on fossil fuels exposes UK to price shocks,"As long as the UK is reliant on fossil fuel energy, it will remain exposed to risk of further price shocks, which historically have been key drivers of very high inflation episodes (Tenreyro, 2023).",NA,NA,NA,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_53
moving towards a greener mix for energy generation,reduced risk of large shocks and macroeconomic ramifications,greener energy mix reduces risk of shocks and macroeconomic effects,"Moving towards a greener mix for energy generation could in the end reduce the risk of these types of large shocks and their macroeconomic ramifications (Panetta, 2022).",NA,could,in the end,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_54
less stringent evolution in emissions permits,fall in demand for permits,less stringent permits reduce demand for permits,"These changes can be attributed at least in part to a less stringent evolution in emissions permits, and an associated fall in demand for permits, also in anticipation of future reduced stringency, relative to expectations.",NA,NA,NA,PAST,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_55
introduction of policies,volatility,policy introduction may cause volatility,"As noted, the introduction of these policies themselves may introduce volatility.",NA,may,NA,NA,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_56
price-based instruments such as carbon taxes,fluctuations in output,carbon taxes cause output fluctuations,"Price-based instruments such as carbon taxes create fluctuations in output, and quantity-based instruments such as an ETS create price fluctuations.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_57
quantity-based instruments such as an ETS,price fluctuations,ETS causes price fluctuations,"Price-based instruments such as carbon taxes create fluctuations in output, and quantity-based instruments such as an ETS create price fluctuations.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_58
uncertainty about future changes to policy stringency,accentuated macroeconomic volatility,policy uncertainty increases macroeconomic volatility,"In addition, there is added uncertainty about future changes to policy stringency that may further accentuate macroeconomic volatility.",NA,may,NA,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_59
uncertainty,"reduced investment, consumption, and employment","uncertainty reduces investment, consumption, and employment","From the literature on policy uncertainty, we know uncertainty reduces investment, consumption, and employment (Bloom, 2014; Jens, 2017) as it increases the so-called option value of waiting (Dixit and Pindyck, 1994), with firms optimally deferring decisions in anticipation of some reduction in the future of policy uncertainty.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_60
uncertainty around Brexit,reduced investment,Brexit uncertainty reduces investment,"My colleague Ben Broadbent gave a speech in 2019 on the relationship between investment and uncertainty, using the example of uncertainty around Brexit for firms.",NA,NA,NA,PAST,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_61
policy uncertainty,increased option value of waiting,policy uncertainty increases option value of waiting,"For an individual firm, policy uncertainty increases the option value of waiting.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_62
investments not undertaken,emissions continue unabated,lack of investment leads to continued emissions,"So investments are not undertaken, and emissions continue unabated.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_63
longer wait for investments,more costly investments needed to limit global warming,delayed investments increase costs to limit global warming,"But, for the environment, the longer we wait, the more costly the investments needed to limit global warming to 2 degrees, and the more damage that needs to be mitigated.",NA,NA,NA,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_64
carbon supply shock,0.15% peak increase in CPI,carbon supply shock increases CPI,"Beginning on the empirical side of carbon pricing strategies, recent staff work, using a high frequency- identified carbon policy supply proxy in a VAR, shows that for the UK, a 1 euro-on-impact carbon supply shock leads to a 0.15% peak increase in CPI and a 0.3% decrease in output (Chart 7).",0.15%,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_65
carbon supply shock,0.3% decrease in output,carbon supply shock decreases output,"Beginning on the empirical side of carbon pricing strategies, recent staff work, using a high frequency- identified carbon policy supply proxy in a VAR, shows that for the UK, a 1 euro-on-impact carbon supply shock leads to a 0.15% peak increase in CPI and a 0.3% decrease in output (Chart 7).",0.3%,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_66
carbon supply shock,affects carbon prices for about 12 months,carbon supply shock affects carbon prices,"This model estimates that a carbon supply shock affects carbon prices lasting for about 12 months, but on CPI for much longer.",NA,NA,about 12 months,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_67
carbon price shock,output fall for emissions-intensive firms,carbon price shock reduces output for emissions-intensive firms,"Also using carbon pricing shocks but in a so-called Environmental DSGE or E-DSGE modl29], Berthold et al. (2023)[30] find heterogeneity in the response of emissions-intensive firms to a carbon price shock, relative to green firms.[31] The relative price of emissions-intensive goods rises due to the rise in carbon price, causing its output to fall.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_68
carbon price shock,output increase for green firms,carbon price shock increases output for green firms,"As shown in Chart 8, output in response to a carbon price shock increases for green firms, reflecting the substitutability of demand between emissions-intensive and green goods, but given output by emissions-intensive firms contracts by more, aggregate output falls.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_69
decline in expected profitability of emissions-intensive firms,persistent decline in investment,decline in profitability reduces investment,"As a result of the decline in expected profitability of emissions-intensive firms, there is a persistent decline in investment.",NA,NA,persistent,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_70
persistent fall in relative prices of green and emissions-intensive goods,fall in investment,fall in relative prices reduces investment,"Due to the persistent fall in relative prices of green and emissions- intensive goods driven by the rise in carbon price, profit margins for green firms are squeezed, triggering a fall in investment.",NA,NA,persistent,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_71
rising cost of emissions-intensive goods,inflation in aggregate rises,rising costs increase inflation,Inflation in aggregate rises due to the rising cost of emissions-intensive goods.,NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_72
carbon taxes,decrease in output,carbon taxes reduce output,"Subsidies and investment increase output, while carbon taxes decrease output.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_73
investment and subsidies,increase in output,investment and subsidies increase output,"Subsidies and investment increase output, while carbon taxes decrease output.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_74
carbon taxes,inflationary effects,carbon taxes cause inflation,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary (Chart 9), though subsidies require a longer time for inflation to return back to its original level.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_75
public investments,inflationary effects,public investments cause inflation,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary (Chart 9), though subsidies require a longer time for inflation to return back to its original level.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_76
subsidies,inflationary effects,subsidies cause inflation,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary (Chart 9), though subsidies require a longer time for inflation to return back to its original level.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_77
expectations for future tax increases,negative effect on demand in the current period,future tax expectations reduce current demand,"Considering expectations, Ferrari and Nispi Landi (2023) find that increases in carbon taxes are inflationary, but expectations for tax increases in the future have a negative effect on demand in the current period, acting as a disinflationary counterweight.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_78
fully rational agents internalising hit to permanent incomes,consumption falls,rational agents reduce consumption,"Annicchiarico et al. (2022) find that fully rational agents more fully internalise the hit to permanent incomes from a permanently higher carbon price compared to non-rational agents. The fully rational agents therefore consume less, which causes output to fall faster.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_79
permanent increase in carbon price,output falls faster,permanent carbon price increase reduces output faster,"Annicchiarico et al. (2022) find that fully rational agents more fully internalise the hit to permanent incomes from a permanently higher carbon price compared to non-rational agents. The fully rational agents therefore consume less, which causes output to fall faster.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_80
permanent increase in carbon price,inflation increases by less,permanent carbon price increase causes less inflation,"Importantly, inflation increases by less than when agents are not fully rational, because these agents are slow to adjust (Chart 10).",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_81
sequence of anticipated carbon price shocks,strong inflationary dynamic,anticipated carbon price shocks increase inflation,"Naylor (2023), by modelling agents as having information frictions, specifically as being rationally inattentive[34], shows that the inflationary dynamic can be particularly strong in the event of a sequence of anticipated carbon price shocks.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_82
anticipated carbon price shocks,inflation falls on impact,anticipated carbon price shocks reduce inflation initially,"In this setting, while inflation may fall on impact (given the significant downward effect on output over the horizon), inflation subsequently rises as sticky price firms are able to adjust prices (Chart 11).",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_83
anticipated carbon price shocks,inflation subsequently rises,anticipated carbon price shocks increase inflation later,"In this setting, while inflation may fall on impact (given the significant downward effect on output over the horizon), inflation subsequently rises as sticky price firms are able to adjust prices (Chart 11).",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_84
subsidies on labour costs to green firms,larger effects on consumption,Subsidies on labour costs to green firms increase consumption more than other types of subsidies.,They find that effects on consumption are much larger for subsidies on labour costs to green firms and subsidies for green loans to banks.,NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_85
subsidies for green loans to banks,larger effects on consumption,Subsidies for green loans to banks increase consumption more than other types of subsidies.,They find that effects on consumption are much larger for subsidies on labour costs to green firms and subsidies for green loans to banks.,NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_86
subsidies on capital to green firms,smaller effects on consumption,Subsidies on capital to green firms have smaller effects on consumption compared to other types of subsidies.,"This is compared to smaller effects from subsidies on capital to green firms, or direct subsidies to households.",NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_87
direct subsidies to households,smaller effects on consumption,Direct subsidies to households have smaller effects on consumption compared to other types of subsidies.,"This is compared to smaller effects from subsidies on capital to green firms, or direct subsidies to households.",NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_88
subsidies,reduction in relative prices of green goods,Subsidies reduce the relative prices of green goods compared to carbon-intensive goods.,"Del Negro et al. (2023) find that in the long-run, subsidies reduce the relative prices of green goods relative to carbon-intensive goods, and increase their production, which in principle would be disinflationary.",NA,NA,in the long-run,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_89
subsidies,increase in production of green goods,Subsidies increase the production of green goods.,"Del Negro et al. (2023) find that in the long-run, subsidies reduce the relative prices of green goods relative to carbon-intensive goods, and increase their production, which in principle would be disinflationary.",NA,NA,in the long-run,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_90
carbon taxes,expansion of the economy,Carbon taxes can expand the economy if revenues are distributed effectively.,"Conte et al. (2023), for instance, find that carbon taxes can expand the economy and generate welfare gains, with a key ingredient being how carbon taxes are distributed.",NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_91
carbon taxes,welfare gains,Carbon taxes can generate welfare gains if revenues are distributed effectively.,"Conte et al. (2023), for instance, find that carbon taxes can expand the economy and generate welfare gains, with a key ingredient being how carbon taxes are distributed.",NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_92
revenues from carbon taxes,reduction in macroeconomic consequences,Recycling revenues from carbon taxes back into the economy can reduce macroeconomic consequences.,Kanzig and Konradt (2023) find that the macroeconomic consequences of carbon taxes for instance can be substantially reduced if revenues are recycled back into the economy.,NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_695a66ac6338819096be86723ff47895,16655_93
technological progress,reduction in the cost of renewable energy,"Technological advancements lower production costs, making renewable energy cheaper.","In fact, technological progress has already meant a significant reduction in the cost of renewable energy.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_94
UK ETS providing more allowances than required,excess allowances above realised emissions,Excess supply of allowances leads to a surplus compared to actual emissions.,"Currently, the UK ETS provides more allowances than required by the industries covered (for instance in 2021 allowances for 156 million tonnes of CO2-equivalent emissions were issued, which was above realised emissions in 2019, of 130 million tonnes).",Allowances for 156 million tonnes vs. 130 million tonnes of emissions,NA,NA,PRESENT,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_95
allowances set to reduce by 4.2 million each year,decrease in emissions allowances,A planned reduction in allowances decreases the total available emissions permits.,Allowances were set to reduce by 4.2 million (each allowance is 1 tonne of emissions) each year in the first phase of the programme from 2021-2030.,4.2 million reduction each year,NA,from 2021-2030,FUTURE,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_96
increased regulatory uncertainty,decreased firm investment in renewable energy generation,Uncertainty in regulations discourages firms from investing due to perceived risks.,"Some relevant research on this topic for instance includes Fabrizio (2013), who shows that increased regulatory uncertainty leads to decreased firm investment in renewable energy generation.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_97
policy-related uncertainty shocks,rise in short and long run inflation expectations,Uncertainty in policy leads to increased inflation expectations as markets anticipate potential changes.,"Istrefi and Piloiu (2014) find that policy-related uncertainty shocks lead to a rise in short and long run inflation expectations, which is consistent with the evidence on uncertainty causing increases in inflation.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_98
carbon price shock,affects emissions-intensive sector,A sudden change in carbon pricing impacts sectors heavily reliant on emissions.,"It is important to consider that the carbon price shock only affects the emissions-intensive sector, and affects the green sector only via spillover effects and by changing the relative price of green and emissions-intensive goods.",NA,NA,NA,NA,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_99
carbon price shock,affects green sector via spillover effects,Changes in carbon pricing indirectly impact the green sector through market dynamics.,"It is important to consider that the carbon price shock only affects the emissions-intensive sector, and affects the green sector only via spillover effects and by changing the relative price of green and emissions-intensive goods.",NA,NA,NA,NA,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_100
carbon prices,raise the cost of capital of emissions-intensive firms,"Higher carbon prices increase operational costs, raising capital costs for emissions-heavy firms.",Hengge et al. (2023) also find that carbon prices raise the cost of capital of emissions-intensive firms.,NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_101
contractionary monetary policy shock,output declines,"Tightening monetary policy reduces economic activity, leading to lower output.","After a contractionary monetary policy shock, output declines, which reduces the demand for emissions.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_102
output declines,reduces the demand for emissions,"Lower output decreases industrial activity, reducing emissions demand.","After a contractionary monetary policy shock, output declines, which reduces the demand for emissions.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_103
fall in price under the ETS,boosts output in the foreign country,"Lower carbon prices reduce costs, encouraging production and increasing output.","In the foreign country, the fall in price under the ETS makes polluting relatively less expensive and boosts output.",NA,NA,NA,PRESENT,speech_16655_batch_3,16655,batch_695a66ac6338819096be86723ff47895,16655_104
