,json,education,Date_of_birth,Bachelor_institution,Bachelor_year,PhD_institution,PhD_year,PhD_thesis_director,highest_level_of_study,Sources,has_PHD,date_cleaned,Date_filled
Yutaka Harada,"{  ""Date_of_birth"": ""1950"",  ""Bachelor_institution"": ""University of Tokyo"",  ""Bachelor_year"": ""1974"",  ""PhD_institution"": ""Gakushuin University"",  ""PhD_year"": ""2012"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Ph.D."",  ""Sources"": {    ""Date_of_birth"": ""https://www.nippon.com/en/authordata/harada-yutaka/"",    ""Bachelor_institution"": ""https://www.nippon.com/en/authordata/harada-yutaka/"",    ""Bachelor_year"": ""https://www.marketscreener.com/insider/YUTAKA-HARADA-A132HE/"",    ""PhD_institution"": ""https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html"",    ""PhD_year"": ""https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html""  }} ","{'Date_of_birth': '1950', 'Bachelor_institution': 'University of Tokyo', 'Bachelor_year': '1974', 'PhD_institution': 'Gakushuin University', 'PhD_year': '2012', 'PhD_thesis_director': '', 'highest_level_of_study': 'Ph.D.', 'Sources': {'Date_of_birth': 'https://www.nippon.com/en/authordata/harada-yutaka/', 'Bachelor_institution': 'https://www.nippon.com/en/authordata/harada-yutaka/', 'Bachelor_year': 'https://www.marketscreener.com/insider/YUTAKA-HARADA-A132HE/', 'PhD_institution': 'https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html', 'PhD_year': 'https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html'}}",1950,University of Tokyo,1974,Gakushuin University,2012,,Ph.D.,"{'Date_of_birth': 'https://www.nippon.com/en/authordata/harada-yutaka/', 'Bachelor_institution': 'https://www.nippon.com/en/authordata/harada-yutaka/', 'Bachelor_year': 'https://www.marketscreener.com/insider/YUTAKA-HARADA-A132HE/', 'PhD_institution': 'https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html', 'PhD_year': 'https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://mba.nucba.ac.jp/en/faculty/harada_yutaka.html'}",True,1950-01-01,1950-01-01 00:00:00
Liviu Voinea,"{  ""Date_of_birth"": ""1975-06-26"",  ""Bachelor_institution"": ""Academy of Economic Studies, Faculty of International Business and Economics"",  ""Bachelor_year"": ""1997"",  ""PhD_institution"": ""Academy of Economic Studies, Faculty of Economics"",  ""PhD_year"": ""2000"",  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Liviu_Voinea"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Liviu_Voinea"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Liviu_Voinea"",    ""PhD_institution"": ""https://en.wikipedia.org/wiki/Liviu_Voinea"",    ""PhD_year"": ""https://en.wikipedia.org/wiki/Liviu_Voinea"",    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Liviu_Voinea""  }} ","{'Date_of_birth': '1975-06-26', 'Bachelor_institution': 'Academy of Economic Studies, Faculty of International Business and Economics', 'Bachelor_year': '1997', 'PhD_institution': 'Academy of Economic Studies, Faculty of Economics', 'PhD_year': '2000', 'PhD_thesis_director': None, 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'PhD_institution': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'PhD_year': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'PhD_thesis_director': None, 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Liviu_Voinea'}}",1975-06-26,"Academy of Economic Studies, Faculty of International Business and Economics",1997,"Academy of Economic Studies, Faculty of Economics",2000,,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'PhD_institution': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'PhD_year': 'https://en.wikipedia.org/wiki/Liviu_Voinea', 'PhD_thesis_director': None, 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Liviu_Voinea'}",True,1975-06-26,1975-06-26 00:00:00
Svetoslav Gavriiski,"{  ""Date_of_birth"": ""1948-12-18"",  ""Bachelor_institution"": ""Karl Marx Higher Institute of Economics (now University of National and World Economy), Sofia"",  ""Bachelor_year"": ""1972"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": ""https://www.omda.bg/public/engl/personalia/gavrijski%20_engl.htm"",    ""Bachelor_institution"": ""https://www.ubb.bg/en/about/management"",    ""Bachelor_year"": ""https://www.ubb.bg/en/about/management"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.ubb.bg/en/about/management""  }} ","{'Date_of_birth': '1948-12-18', 'Bachelor_institution': 'Karl Marx Higher Institute of Economics (now University of National and World Economy), Sofia', 'Bachelor_year': '1972', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': 'https://www.omda.bg/public/engl/personalia/gavrijski%20_engl.htm', 'Bachelor_institution': 'https://www.ubb.bg/en/about/management', 'Bachelor_year': 'https://www.ubb.bg/en/about/management', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.ubb.bg/en/about/management'}}",1948-12-18,"Karl Marx Higher Institute of Economics (now University of National and World Economy), Sofia",1972,,,,Bachelor's degree,"{'Date_of_birth': 'https://www.omda.bg/public/engl/personalia/gavrijski%20_engl.htm', 'Bachelor_institution': 'https://www.ubb.bg/en/about/management', 'Bachelor_year': 'https://www.ubb.bg/en/about/management', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.ubb.bg/en/about/management'}",False,1948-12-18,1948-12-18 00:00:00
Miroslav Singer,"{  ""Date_of_birth"": ""1968-05-14"",  ""Bachelor_institution"": ""University of Economics in Prague"",  ""Bachelor_year"": ""1991"",  ""PhD_institution"": ""University of Pittsburgh"",  ""PhD_year"": ""1995"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Miroslav_Singer"",    ""Bachelor_institution"": ""https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd"",    ""Bachelor_year"": ""https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd"",    ""PhD_institution"": ""https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd"",    ""PhD_year"": ""https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd""  }} ","{'Date_of_birth': '1968-05-14', 'Bachelor_institution': 'University of Economics in Prague', 'Bachelor_year': '1991', 'PhD_institution': 'University of Pittsburgh', 'PhD_year': '1995', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Miroslav_Singer', 'Bachelor_institution': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'Bachelor_year': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'PhD_institution': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'PhD_year': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd'}}",1968-05-14,University of Economics in Prague,1991,University of Pittsburgh,1995,,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Miroslav_Singer', 'Bachelor_institution': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'Bachelor_year': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'PhD_institution': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'PhD_year': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.cerge-ei.cz/research-associates/ing-miroslav-singer-phd'}",True,1968-05-14,1968-05-14 00:00:00
Arthur Javadyan,"{  ""Date_of_birth"": ""April 22, 1964"",  ""Bachelor_institution"": ""Armenian Agricultural Institute"",  ""Bachelor_year"": ""1986"",  ""PhD_institution"": ""Armenian Agricultural Mechanization"",  ""PhD_year"": ""1989"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://www.cba.am/en/governors/24"",    ""Bachelor_institution"": ""https://www.cba.am/en/governors/24"",    ""Bachelor_year"": ""https://www.cba.am/en/governors/24"",    ""PhD_institution"": ""https://www.cba.am/en/governors/24"",    ""PhD_year"": ""https://www.cba.am/en/governors/24"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.cba.am/en/governors/24""  }} ","{'Date_of_birth': 'April 22, 1964', 'Bachelor_institution': 'Armenian Agricultural Institute', 'Bachelor_year': '1986', 'PhD_institution': 'Armenian Agricultural Mechanization', 'PhD_year': '1989', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://www.cba.am/en/governors/24', 'Bachelor_institution': 'https://www.cba.am/en/governors/24', 'Bachelor_year': 'https://www.cba.am/en/governors/24', 'PhD_institution': 'https://www.cba.am/en/governors/24', 'PhD_year': 'https://www.cba.am/en/governors/24', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.cba.am/en/governors/24'}}","April 22, 1964",Armenian Agricultural Institute,1986,Armenian Agricultural Mechanization,1989,,PhD,"{'Date_of_birth': 'https://www.cba.am/en/governors/24', 'Bachelor_institution': 'https://www.cba.am/en/governors/24', 'Bachelor_year': 'https://www.cba.am/en/governors/24', 'PhD_institution': 'https://www.cba.am/en/governors/24', 'PhD_year': 'https://www.cba.am/en/governors/24', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.cba.am/en/governors/24'}",True,1964-04-22,1964-04-22 00:00:00
Gane A Simbe,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""Papua New Guinea University of Technology"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master of Business Administration"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.scribd.com/doc/49495572/The-Central-Bankers-Named-2011"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.scribd.com/doc/49495572/The-Central-Bankers-Named-2011""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'Papua New Guinea University of Technology', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Master of Business Administration', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.scribd.com/doc/49495572/The-Central-Bankers-Named-2011', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.scribd.com/doc/49495572/The-Central-Bankers-Named-2011'}}",,Papua New Guinea University of Technology,,,,,Master of Business Administration,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.scribd.com/doc/49495572/The-Central-Bankers-Named-2011', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.scribd.com/doc/49495572/The-Central-Bankers-Named-2011'}",False,,
Per Callesen,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": """",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": """"  }} ","{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': '', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}}",,,,,,,,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}",False,,
Pierluigi Ciocca,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""Sapienza University of Rome"",  ""Bachelor_year"": ""1965"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Postgraduate studies in economics"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/"",    ""Bachelor_year"": ""https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'Sapienza University of Rome', 'Bachelor_year': '1965', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Postgraduate studies in economics', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/', 'Bachelor_year': 'https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/'}}",,Sapienza University of Rome,1965,,,,Postgraduate studies in economics,"{'Date_of_birth': '', 'Bachelor_institution': 'https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/', 'Bachelor_year': 'https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://geinewyork.com/eventi/gei-luncheon/dr-pierluigi-ciocca/'}",False,,1941-10-17
Murat Uysal,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""Istanbul University"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Murat_Uysal"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Murat_Uysal""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'Istanbul University', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Murat_Uysal', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Murat_Uysal'}}",,Istanbul University,,,,,Master's degree,"{'Date_of_birth': '', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Murat_Uysal', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Murat_Uysal'}",False,,
Pongpen Ruengvirayudh,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": ""Thammasat University"",  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Master of Business Administration"",  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": ""https://www.tisco.co.th/en/about-tisco/board/mrs-pongpen-ruengvirayudh"",    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://www.tisco.co.th/en/about-tisco/board/mrs-pongpen-ruengvirayudh""  }} ","{'Date_of_birth': None, 'Bachelor_institution': 'Thammasat University', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'Master of Business Administration', 'Sources': {'Date_of_birth': None, 'Bachelor_institution': 'https://www.tisco.co.th/en/about-tisco/board/mrs-pongpen-ruengvirayudh', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.tisco.co.th/en/about-tisco/board/mrs-pongpen-ruengvirayudh'}}",,Thammasat University,,,,,Master of Business Administration,"{'Date_of_birth': None, 'Bachelor_institution': 'https://www.tisco.co.th/en/about-tisco/board/mrs-pongpen-ruengvirayudh', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.tisco.co.th/en/about-tisco/board/mrs-pongpen-ruengvirayudh'}",False,,
Robert Jenkins,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://rpc.cfainstitute.org/about/advisory-council/jenkins-bio""  }} ","{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://rpc.cfainstitute.org/about/advisory-council/jenkins-bio'}}",,,,,,,Master's degree,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://rpc.cfainstitute.org/about/advisory-council/jenkins-bio'}",False,,
